Timestamp,Cooling,Energy,Power IT,HVAC,Pumps,Plug & Light,PUE,Energy Reuse
Sun Jun 12 2016 00:00:18 GMT-0600 (Mountain Daylight Time),"0,10847559","12,09809527","61,45127057","0,10312547","0,06242997","0,15186588","0,00732823","12,09809527",
Sun Jun 12 2016 00:01:16 GMT-0600 (Mountain Daylight Time),"0,11222475","11,97269021","60,86387785","0,10399373","0,06197925","0,15051908","0,00749888","11,97269021",
Sun Jun 12 2016 00:02:17 GMT-0600 (Mountain Daylight Time),"0,11222475","11,97269021","60,66193989","0,10399373","0,06197925","0,15051908","0,00752554","11,97269021",
Sun Jun 12 2016 00:03:16 GMT-0600 (Mountain Daylight Time),"0,11122497","12,06338964","60,79233521","0,1039148","0,06167727","0,15119248","0,00746209","12,06338964",
Sun Jun 12 2016 00:04:17 GMT-0600 (Mountain Daylight Time),"0,11122497","12,06338964","61,03587455","0,1039148","0,06167727","0,15119248","0,00743029","12,06338964",
Sun Jun 12 2016 00:05:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,1747299","60,88643444","0,10425026","0,06378362","0,15119248","0,00755454","12,1747299",
Sun Jun 12 2016 00:06:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,1747299","61,55342697","0,10425026","0,06378362","0,15119248","0,00746718","12,1747299",
Sun Jun 12 2016 00:07:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,1685834","60,96174279","0,10452652","0,06182751","0,14109147","0,00736624","12,1685834",
Sun Jun 12 2016 00:08:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,1685834","61,50681118","0,10452652","0,06182751","0,14109147","0,00729647","12,1685834",
Sun Jun 12 2016 00:09:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,06270208","60,70440934","0,10407266","0,06213099","0,14109147","0,00741388","12,06270208",
Sun Jun 12 2016 00:10:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,06270208","60,42319034","0,10407266","0,06213099","0,14109147","0,00745074","12,06270208",
Sun Jun 12 2016 00:11:17 GMT-0600 (Mountain Daylight Time),"0,10822565","12,13058586","60,38554974","0,10332281","0,06258021","0,14041807","0,00743464","12,13058586",
Sun Jun 12 2016 00:12:17 GMT-0600 (Mountain Daylight Time),"0,10822565","12,13058586","60,49660364","0,10332281","0,06258021","0,14041807","0,00742006","12,13058586",
Sun Jun 12 2016 00:13:17 GMT-0600 (Mountain Daylight Time),"0,11047514","12,15758753","61,03576415","0,10353987","0,06303242","0,14109147","0,00744797","12,15758753",
Sun Jun 12 2016 00:14:17 GMT-0600 (Mountain Daylight Time),"0,11047514","12,15758753","62,46051067","0,10353987","0,06303242","0,14109147","0,00726652","12,15758753",
Sun Jun 12 2016 00:15:18 GMT-0600 (Mountain Daylight Time),"0,11322452","12,3060058","62,19239881","0,10452652","0,06302942","0,13974467","0,00738557","12,3060058",
Sun Jun 12 2016 00:16:19 GMT-0600 (Mountain Daylight Time),"0,11322452","12,3060058","62,04935689","0,10452652","0,06302942","0,13974467","0,00740376","12,3060058",
Sun Jun 12 2016 00:17:17 GMT-0600 (Mountain Daylight Time),"0,11072509","12,22837807","60,8510617","0,10395426","0,06273044","0,14041807","0,00746385","12,22837807",
Sun Jun 12 2016 00:18:17 GMT-0600 (Mountain Daylight Time),"0,11072509","12,22837807","60,47381061","0,10395426","0,06273044","0,14041807","0,00751358","12,22837807",
Sun Jun 12 2016 00:19:17 GMT-0600 (Mountain Daylight Time),"0,11122498","12,14288482","60,58014372","0,1033228","0,0633314","0,14041807","0,00754484","12,14288482",
Sun Jun 12 2016 00:20:16 GMT-0600 (Mountain Daylight Time),"0,11122498","12,14288482","60,57807417","0,1033228","0,0633314","0,14041807","0,00754512","12,14288482",
Sun Jun 12 2016 00:21:17 GMT-0600 (Mountain Daylight Time),"0,11097503","12,05791484","60,44819264","0,1004023","0,06107782","0,14041807","0,00742257","12,05791484",
Sun Jun 12 2016 00:22:16 GMT-0600 (Mountain Daylight Time),"0,11197481","12,31761538","61,49575147","0,10154682","0,06182901","0,14109147","0,00736472","12,31761538",
Sun Jun 12 2016 00:23:16 GMT-0600 (Mountain Daylight Time),"0,11197481","12,31761538","61,10770556","0,10154682","0,06182901","0,14109147","0,00741471","12,31761538",
Sun Jun 12 2016 00:24:17 GMT-0600 (Mountain Daylight Time),"0,11197481","12,31761538","61,67500137","0,10154682","0,06182901","0,14109147","0,00734184","12,31761538",
Sun Jun 12 2016 00:25:17 GMT-0600 (Mountain Daylight Time),"0,10922542","12,2962455","61,15502096","0,10012604","0,06183052","0,14041807","0,00731408","12,2962455",
Sun Jun 12 2016 00:26:17 GMT-0600 (Mountain Daylight Time),"0,10922542","12,2962455","62,01209934","0,10012604","0,06183052","0,14041807","0,00720598","12,2962455",
Sun Jun 12 2016 00:27:17 GMT-0600 (Mountain Daylight Time),"0,11172486","12,06196308","61,4747185","0,10440812","0,06198076","0,14041807","0,00737701","12,06196308",
Sun Jun 12 2016 00:28:16 GMT-0600 (Mountain Daylight Time),"0,11172486","12,06196308","61,55507943","0,10440812","0,06198076","0,14041807","0,00736672","12,06196308",
Sun Jun 12 2016 00:29:18 GMT-0600 (Mountain Daylight Time),"0,10972531","12,04985342","61,36691929","0,10156655","0,06122957","0,14109147","0,00727895","12,04985342",
Sun Jun 12 2016 00:30:16 GMT-0600 (Mountain Daylight Time),"0,10972531","12,04985342","62,63682803","0,10156655","0,06122957","0,14109147","0,0071211","12,04985342",
Sun Jun 12 2016 00:31:18 GMT-0600 (Mountain Daylight Time),"0,11072509","12,1763471","62,23140786","0,10357933","0,06273044","0,14041807","0,00728558","12,1763471",
Sun Jun 12 2016 00:32:16 GMT-0600 (Mountain Daylight Time),"0,11072509","12,1763471","61,33646309","0,10357933","0,06273044","0,14041807","0,00739928","12,1763471",
Sun Jun 12 2016 00:33:15 GMT-0600 (Mountain Daylight Time),"0,10747582","12,15500695","61,20878517","0,1033228","0,06212799","0,14109147","0,00728224","12,15500695",
Sun Jun 12 2016 00:34:15 GMT-0600 (Mountain Daylight Time),"0,10747582","12,15500695","60,9516506","0,1033228","0,06212799","0,14109147","0,0073151","12,15500695",
Sun Jun 12 2016 00:35:16 GMT-0600 (Mountain Daylight Time),"0,10947537","11,90694716","61,2902773","0,10438839","0,06363338","0,14041807","0,00741644","11,90694716",
Sun Jun 12 2016 00:36:17 GMT-0600 (Mountain Daylight Time),"0,10972531","11,84650753","61,44232401","0,10421079","0,06393235","0,14041807","0,00741966","11,84650753",
Sun Jun 12 2016 00:37:17 GMT-0600 (Mountain Daylight Time),"0,10872554","12,18163011","62,45655772","0,10334254","0,06242997","0,14041807","0,00717912","12,18163011",
Sun Jun 12 2016 00:38:18 GMT-0600 (Mountain Daylight Time),"0,10872554","12,18163011","62,6727255","0,10334254","0,06242997","0,14041807","0,00715261","12,18163011",
Sun Jun 12 2016 00:39:17 GMT-0600 (Mountain Daylight Time),"0,10972531","12,10623681","62,65446133","0,10399373","0,06242997","0,14041807","0,00718827","12,10623681",
Sun Jun 12 2016 00:40:17 GMT-0600 (Mountain Daylight Time),"0,10972531","12,10623681","61,95887625","0,10399373","0,06242997","0,14041807","0,00727466","12,10623681",
Sun Jun 12 2016 00:41:15 GMT-0600 (Mountain Daylight Time),"0,10772576","12,04240807","61,69662046","0,08564191","0,05999611","0,14041807","0,00704514","12,04240807",
Sun Jun 12 2016 00:42:16 GMT-0600 (Mountain Daylight Time),"0,10772576","12,04240807","61,47417785","0,08564191","0,05999611","0,14041807","0,00707247","12,04240807",
Sun Jun 12 2016 00:43:16 GMT-0600 (Mountain Daylight Time),"0,11097503","11,88084003","61,14505994","0,1004615","0,06167878","0,14041807","0,00736407","11,88084003",
Sun Jun 12 2016 00:44:15 GMT-0600 (Mountain Daylight Time),"0,11097503","11,88084003","60,83416182","0,1004615","0,06167878","0,14041807","0,0074043","11,88084003",
Sun Jun 12 2016 00:45:20 GMT-0600 (Mountain Daylight Time),"0,10997526","12,01591115","62,48242292","0,10365827","0,06107782","0,14041807","0,00714622","12,01591115",
Sun Jun 12 2016 00:46:17 GMT-0600 (Mountain Daylight Time),"0,10997526","12,01591115","62,15437306","0,06813862","0,06102073","0,14041807","0,0070436","12,01591115",
Sun Jun 12 2016 00:47:17 GMT-0600 (Mountain Daylight Time),"0,1102252","12,11261801","61,30348991","0,10233615","0,06243147","0,14109147","0,00736897","12,11261801",
Sun Jun 12 2016 00:48:18 GMT-0600 (Mountain Daylight Time),"0,1102252","12,11261801","61,54876149","0,10233615","0,06243147","0,14109147","0,00733759","12,11261801",
Sun Jun 12 2016 00:49:17 GMT-0600 (Mountain Daylight Time),"0,10847559","12,11815778","61,41233079","0,10425026","0,06273045","0,13974467","0,00731942","12,11815778",
Sun Jun 12 2016 00:50:17 GMT-0600 (Mountain Daylight Time),"0,10847559","12,14269685","61,46588539","0,10466466","0,06288068","0,14041807","0,00732401","12,14269685",
Sun Jun 12 2016 00:51:16 GMT-0600 (Mountain Daylight Time),"0,10847559","12,14269685","61,28129946","0,10466466","0,06288068","0,14041807","0,0073476","12,14269685",
Sun Jun 12 2016 00:52:16 GMT-0600 (Mountain Daylight Time),"0,10847559","12,14269685","61,80956896","0,10466466","0,06288068","0,14041807","0,00728047","12,14269685",
Sun Jun 12 2016 00:53:16 GMT-0600 (Mountain Daylight Time),"0,10772576","12,17089407","62,05914307","0,09738313","0,06242997","0,14041807","0,00717364","12,17089407",
Sun Jun 12 2016 00:54:17 GMT-0600 (Mountain Daylight Time),"0,10772576","12,17089407","62,04639201","0,09738313","0,06242997","0,14041807","0,00717521","12,17089407",
Sun Jun 12 2016 00:55:17 GMT-0600 (Mountain Daylight Time),"0,10772576","12,17089407","62,41871968","0,09738313","0,06242997","0,14041807","0,00712939","12,17089407",
Sun Jun 12 2016 00:56:17 GMT-0600 (Mountain Daylight Time),"0,1079757","12,23069005","61,42324369","0,1039148","0,06288068","0,13974467","0,00730882","12,23069005",
Sun Jun 12 2016 00:57:16 GMT-0600 (Mountain Daylight Time),"0,1079757","12,23069005","61,28745068","0,1039148","0,06288068","0,13974467","0,00732614","12,23069005",
Sun Jun 12 2016 00:58:17 GMT-0600 (Mountain Daylight Time),"0,10997526","12,21012691","61,49139406","0,10196122","0,06153004","0,14109147","0,00728836","12,21012691",
Sun Jun 12 2016 00:59:18 GMT-0600 (Mountain Daylight Time),"0,10997526","12,21012691","61,08367352","0,10196122","0,06153004","0,14109147","0,00734039","12,21012691",
Sun Jun 12 2016 01:00:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,25968407","61,20242073","0,10352013","0,06062711","0,14041807","0,00726622","12,25968407",
Sun Jun 12 2016 01:01:17 GMT-0600 (Mountain Daylight Time),"0,10947537","12,25968407","61,96336188","0,10352013","0,06062711","0,14041807","0,00717076","12,25968407",
Sun Jun 12 2016 01:02:16 GMT-0600 (Mountain Daylight Time),"0,11147492","12,28827149","61,87706158","0,10428973","0,06197925","0,14041807","0,00731738","12,28827149",
Sun Jun 12 2016 01:03:17 GMT-0600 (Mountain Daylight Time),"0,11147492","12,28827149","61,99097196","0,10428973","0,06197925","0,14041807","0,00730301","12,28827149",
